Time 'S-S'_Phase
1.41168 0.496787
3.41151 0.303636
5.41145 0.346247
7.41235 0.43438
9.41229 0.416288
11.4121 0.398227
13.412 0.311647
15.4119 0.552362
17.4117 0.587567
19.4116 0.00794132
116.411 0.460545
120.411 0.356249
122.411 0.388814
124.411 0.33261
126.411 0.397245
128.412 0.340759
130.412 0.583055
132.411 0.559112
134.411 0.0170843
198.946 0.411839
200.946 0.363717
202.946 0.339814
204.946 0.37219
206.947 0.380205
208.947 0.420819
210.947 0.429174
212.947 0.251976
216.946 0.00628282
312.754 0.480524
316.753 0.2875
318.753 0.384592
320.753 0.336483
322.753 0.336734
324.753 0.288473
326.754 0.393284
328.754 0.280641
