Time 'S-S'_Phase
1.41168 0.471882
3.41151 0.286632
5.41145 0.318997
7.41235 0.335053
9.41229 0.383726
11.4121 0.384031
13.412 0.29559
13.412 0.537591
15.4119 0.513676
17.4117 0.562364
19.4116 0.0106024
116.411 0.460545
118.411 0.275303
120.411 0.55793
122.411 0.146821
124.411 0.300342
124.411 0.542352
126.411 0.348869
126.411 0.566562
128.412 0.300425
128.412 0.566631
130.412 0.28458
130.412 0.574989
132.411 0.575244
134.411 0.0178343
198.946 0.500573
200.946 0.371785
202.946 0.347882
204.946 0.315752
206.947 0.331804
208.947 0.412751
210.947 0.517905
212.947 0.405248
214.946 0.437824
216.946 0.0116712
312.754 0.439961
314.754 0.315401
316.753 0.281687
318.753 0.363595
320.753 0.561122
322.753 0.560415
324.753 0.25403
326.754 0.566824
328.754 0.599179
