Time 'S-S'_Phase
90.2829 0.176431
92.2828 0.307066
94.2827 0.249232
96.2829 0.144174
98.2834 0.109688
100.283 0.287464
102.283 0.394564
104.283 0.36033
106.283 0.373226
108.283 0.00775376
201.787 0.200293
203.787 0.283834
203.787 0.872747
207.786 0.144699
209.786 0.204615
211.787 0.287758
213.787 0.394872
215.787 0.266413
217.787 0.420615
219.787 0.00891712
306.441 0.209932
308.441 0.26977
310.442 0.258739
312.442 0.248058
314.442 0.119601
316.442 0.132504
318.442 0.145407
320.442 0.299587
322.442 0.288932
