Time NbEvent Period Duration MeanF MeanIF SD_MIF
85.4697 38 NA 0.918438 41.3746 115.637 135.025
87.0085 57 1.53878 1.18906 47.9372 130.511 171.499
89.0177 48 2.00926 1.08631 44.1862 142.43 182.811
91.0705 47 2.05282 1.16763 40.2524 110.026 148.726
93.0627 37 1.99213 0.909138 40.6979 100.385 90.2404
95.0717 40 2.00903 1.17882 33.9322 112.327 132.06
97.0318 23 1.96009 1.06903 21.5149 60.267 60.8793
99.1012 38 2.06944 1.11188 34.1764 137.098 181.436
101.1 23 1.99885 0.966894 23.7875 93.5355 114.331
103.268 30 2.16767 0.780036 38.4598 116.731 101.034
188.967 64 85.6994 0.979596 65.3331 149.221 171.93
190.801 184 1.83382 3.27211 56.2328 144.044 139.446
194.526 68 3.7253 1.44664 47.0054 167.484 234.517
196.604 9 2.07818 0.873408 10.3045 60.2334 88.5683
198.452 58 1.848 1.56617 37.0329 159.194 173.865
200.446 62 1.99348 1.41214 43.9049 158.566 184.228
202.526 56 2.08024 1.42472 39.3061 147.976 197.012
204.611 3 2.08532 0.159432 18.8168 78.8487 73.8827
205.172 28 0.560046 0.565164 49.5431 162.859 194.495
207.15 26 1.97817 0.832719 31.223 96.0389 111.149
272.38 63 65.2305 0.92025 68.4597 181.062 189.811
274.359 82 1.97834 1.51952 53.9645 158.99 184.739
276.592 63 2.23363 1.19421 52.7544 158.086 215.792
278.214 60 1.62228 0.917151 65.42 170.199 209.751
280.239 58 2.02441 1.29947 44.6334 187.483 259.972
282.078 57 1.83872 1.3314 42.8122 97.8385 87.578
284.208 18 2.13069 0.819423 21.9667 74.8676 98.1782
286.133 21 1.92479 1.22115 17.1969 92.7959 143.995
288.729 44 2.59576 1.01724 43.2542 136.378 164.248
