Time 'S-S'_Phase
84.247 0.0782808
84.247 0.786965
88.2468 0.053331
90.2467 0.094017
92.2466 0.00407579
92.2466 0.768343
94.2464 0.891155
98.2461 0.0494712
98.2461 0.95355
102.247 0.00232342
102.247 0.0175624
187.926 0.0673292
187.926 0.932324
189.926 0.854701
191.926 0.822802
193.926 0.87877
195.926 0.998165
197.926 0.918576
199.926 0.84248
201.926 0.850589
203.926 0.823489
205.926 0.0280003
271.437 0.0802719
271.437 0.790924
273.437 0.805491
275.437 0.825986
279.437 0.108479
279.437 0.861688
281.437 0.835314
285.437 0.0974568
285.437 0.791082
287.437 0.767294
