Time 'S-S'_Phase
84.247 0.611368
86.2469 0.380802
88.2468 0.385492
90.2467 0.411954
92.2466 0.408074
94.2464 0.412651
96.2463 0.392774
98.2461 0.427338
100.247 0.426503
102.247 0.011914
187.926 0.520652
189.926 0.43762
193.926 0.300227
195.926 0.339022
197.926 0.263069
199.926 0.259901
201.926 0.300057
203.926 0.34281
203.926 0.622835
205.926 0.0186817
271.437 0.471772
273.437 0.460746
275.437 0.577391
277.437 0.388587
279.437 0.400839
281.437 0.32026
283.437 0.385678
285.437 0.348109
287.437 0.6461
