Time 'S-S'_Phase
84.247 0.536848
86.2469 0.250083
88.2468 0.40184
90.2467 0.396596
92.2466 0.468399
94.2464 0.425507
96.2463 0.537987
98.2461 0.557695
100.247 0.553079
102.247 0.00832198
187.926 0.446964
189.926 0.445212
191.926 0.518276
193.926 0.379045
195.926 0.49766
197.926 0.349322
199.926 0.481061
201.926 0.383209
203.926 0.419483
205.926 0.0172643
271.437 0.478237
273.437 0.535035
275.437 0.494691
277.437 0.402176
279.437 0.396687
281.437 0.384836
283.437 0.382276
285.437 0.34014
287.437 0.579936
