Time 'S-S'_Phase
212.149 0.148462
214.15 0.184141
216.15 0.198173
218.15 0.179084
218.15 0.201128
222.15 0.129996
224.15 0.309333
226.149 0.334393
228.149 0.381303
230.15 0.0209836
278.301 0.202551
280.301 0.128418
280.301 0.789724
282.301 0.913522
286.302 0.269175
288.302 0.0407222
290.301 0.231105
292.301 0.388388
294.301 0.226037
296.301 0.0104633
369.566 0.154451
369.566 0.892936
371.565 0.884912
373.565 0.920522
377.566 0.0336507
379.566 0.246129
381.566 0.326286
383.566 0.384386
385.566 0.409414
