Time 'S-S'_Phase
90.2829 0.117543
90.2829 0.883075
92.2828 0.95483
94.2827 0.849799
96.2829 0.768204
98.2834 0.745685
100.283 0.899915
102.283 0.865654
104.283 0.855018
106.283 0.832536
201.787 0.0354087
201.787 0.600724
203.787 0.64896
205.787 0.414507
207.786 0.356704
207.786 0.969165
211.787 0.0521982
213.787 0.0297675
215.787 0.0308611
217.787 0.0201789
306.441 0.0921596
306.441 0.622139
308.441 0.44635
310.442 0.470736
312.442 0.389389
312.442 0.931157
314.442 0.472939
314.442 0.955834
316.442 0.650738
318.442 0.734268
320.442 0.758918
