Time 'S-S'_Phase
1.76245 0.0342346
5.76328 0.03024
7.76308 0.0119933
7.76308 0.97165
9.76295 0.986478
11.7628 0.979191
15.7626 0.0160714
17.7624 0.0529693
17.7624 0.979053
75.9312 0.0542496
75.9312 0.837442
77.931 0.940524
79.9309 0.91121
81.9307 0.903932
85.9316 0.0285179
87.9314 0.0543925
89.9314 0.0250397
91.9311 0.0288783
93.9311 0.000473839
184.994 0.0324724
184.994 0.90388
186.994 0.874584
188.993 0.944559
190.993 0.980845
192.994 0.973658
196.994 0.0105233
198.994 0.0584368
200.994 0.0621981
200.994 0.966653
