Time 'S-S'_Phase
1.76245 0.0342346
1.76245 0.993369
3.76341 0.986117
7.76308 0.0119933
9.76295 0.00474189
11.7628 0.0195695
13.7627 0.034345
15.7626 0.0271022
15.7626 0.986812
19.7633 3.92573e-005
75.9312 0.010126
75.9312 0.69404
77.931 0.0249667
79.9309 0.0067084
81.9307 0.0325437
83.9307 0.0252513
85.9316 0.0395485
87.9314 0.0213019
89.9314 0.00297638
91.9311 0.0178487
93.9311 0.000473839
184.994 0.0324724
184.994 0.90388
188.993 0.0400455
190.993 0.0327845
192.994 0.0139265
194.994 0.0508724
196.994 0.0105233
198.994 0.0253467
200.994 0.0511685
202.994 0.000166611
