Time 'S-S'_Phase
122.842 0.0524948
124.842 0.203956
124.842 0.96837
126.842 0.712889
128.842 0.854462
130.842 0.827323
134.843 0.0577413
136.842 0.000795047
138.842 0.0828328
140.842 0.00158599
248.665 0.312154
248.665 0.917701
252.665 0.0592744
252.665 0.674756
254.665 0.647319
256.665 0.878054
258.665 0.999827
262.665 0.042142
264.665 0.044791
266.665 0.000191686
450.528 0.0345675
452.528 0.273506
454.528 0.307489
456.528 0.0247139
456.528 0.993476
458.528 0.43129
460.527 0.288138
462.528 0.0516131
464.528 0.0483413
466.528 0.0823253
