Time 'S-S'_Phase
122.842 0.0957962
122.842 0.69721
124.842 0.699658
126.842 0.716424
128.842 0.718837
130.842 0.749928
132.842 0.766287
134.843 0.782915
136.842 0.742382
138.842 0.773503
140.842 0.0138609
248.665 0.118984
248.665 0.691808
250.665 0.651266
252.665 0.739628
254.665 0.741744
256.665 0.744021
258.665 0.77511
260.665 0.763219
262.665 0.765673
264.665 0.768108
266.665 0.00760231
450.528 0.12772
452.528 0.171035
452.528 0.776538
454.528 0.493781
456.528 0.74197
458.528 0.701429
460.527 0.710786
462.528 0.727404
464.528 0.715533
466.528 0.717946
