Time 'S-S'_Phase
7.81948 0.0773258
7.81948 0.995461
9.81934 0.795541
11.8192 0.674342
13.819 0.697017
15.82 0.837985
17.8198 0.992207
19.8197 0.975907
23.8194 0.13015
25.8194 0.0116891
92.4189 0.100758
92.4189 0.730334
94.4188 0.727183
96.4186 0.776421
98.4186 0.799115
100.419 0.861422
104.419 0.0287117
106.419 0.314152
108.419 0.468378
108.419 0.95366
110.419 0.0155864
220.594 0.0814897
220.594 0.99962
222.594 0.707893
224.594 0.901459
228.594 0.409596
230.595 0.366786
232.594 0.376756
234.594 0.163712
234.594 0.885069
236.594 0.567135
