Time 'S-S'_Phase
7.81948 0.0117443
7.81948 0.982345
9.81934 0.716844
11.8192 0.595642
13.819 0.605255
15.82 0.536301
17.8198 0.61184
19.8197 0.700471
21.8196 0.474332
23.8194 0.969555
25.8194 0.0227171
92.4189 0.0482941
94.4188 0.09759
94.4188 0.766533
96.4186 0.789536
98.4186 0.707342
100.419 0.717147
102.419 0.490971
104.419 0.264814
106.419 0.655181
108.419 0.74381
220.594 0.0946051
222.594 0.0258526
222.594 0.721008
224.594 0.848995
226.594 0.806467
230.595 0.707822
232.594 0.796469
236.594 0.147395
