Time 'S-S'_Phase
7.81948 0.352766
9.81934 0.244667
11.8192 0.45136
13.819 0.6708
15.82 0.785518
17.8198 0.520029
17.8198 0.624957
19.8197 0.83163
21.8196 0.579265
25.8194 0.012083
92.4189 0.323733
94.4188 0.386154
96.4186 0.396083
98.4186 0.222255
100.419 0.428596
102.419 0.359817
102.419 0.976247
104.419 0.881304
106.419 0.642064
108.419 0.533957
110.419 0.0046347
220.594 0.265115
222.594 0.314408
224.594 0.271885
226.594 0.281825
228.594 0.488251
230.595 0.353669
232.594 0.10132
234.594 0.0194404
236.594 0.134279
