Time 'S-S'_Phase
7.81948 0.247836
9.81934 0.23155
11.8192 0.162797
13.819 0.0809069
15.82 0.0509843
17.8198 0.060965
19.8197 0.0840192
21.8196 0.0546049
23.8194 0.143265
25.8194 0.0057813
92.4189 0.140106
94.4188 0.215637
96.4186 0.212471
98.4186 0.222255
100.419 0.140045
102.419 0.189315
104.419 0.133645
106.419 0.602715
110.419 0.00296813
220.594 0.212651
222.594 0.261943
224.594 0.101376
226.594 0.242476
228.594 0.12119
228.594 0.711111
230.595 0.235618
232.594 0.219364
234.594 0.216174
236.594 0.199862
