Time 'S-S'_Phase
1.76378 0.0575345
1.76378 0.910462
3.76371 0.751028
5.76363 0.418559
7.76345 0.407502
7.76345 0.914324
11.7642 0.00162459
13.7641 0.08944
13.7641 0.917666
17.7639 0.0920209
17.7639 0.85842
123.643 0.0690465
125.643 0.329935
127.643 0.368319
129.643 0.456087
131.643 0.444804
131.643 0.988437
133.644 0.927944
135.643 0.867383
137.643 0.967563
139.643 0.944149
141.643 0.0267962
194.675 0.0781869
194.675 0.84461
196.675 0.845883
198.675 0.82244
200.674 0.786625
202.674 0.738465
204.674 0.76448
206.674 0.790262
210.675 0.100301
210.675 0.743134
212.675 0.0173282
