Time 'S-S'_Phase
1.76378 0.131703
3.76371 0.120603
5.76363 0.196045
7.76345 0.184994
9.76333 0.0873411
9.76333 0.581549
11.7642 0.706232
13.7641 0.497372
15.764 0.115451
17.7639 0.153828
17.7639 0.722446
19.7638 0.0117913
123.643 0.118492
125.643 0.589547
127.643 0.294157
129.643 0.715688
131.643 0.185343
131.643 0.642489
133.644 0.186224
133.644 0.655979
135.643 0.175169
137.643 0.151693
139.643 0.202439
141.643 0.0100142
194.675 0.164719
196.675 0.190733
198.675 0.15492
200.674 0.131476
202.674 0.132745
204.674 0.220568
206.674 0.221795
208.675 0.247522
210.675 0.409356
212.675 0.00477646
