Time 'S-S'_Phase
5.06257 0.0883186
5.06257 0.664659
7.06247 0.607477
9.06331 0.707586
13.063 0.0384355
13.063 0.950114
15.0629 0.935137
17.0628 0.930635
19.0627 0.968085
21.0625 0.953089
77.4541 0.493585
79.454 0.698346
81.4548 0.934727
85.4545 0.0560135
87.4545 0.0200608
89.4543 0.0155729
91.4541 0.000630029
91.4541 0.954207
93.4541 0.907572
201.461 0.0715496
201.461 0.700262
203.461 0.674442
207.462 0.0784414
209.462 0.0635227
211.462 0.01709
211.462 0.729706
213.461 0.0545717
215.461 0.029145
215.461 0.762632
217.461 0.0350743
