Time 'S-S'_Phase
5.06257 0.0987966
5.06257 0.633223
7.06247 0.125674
7.06247 0.628425
9.06331 0.602795
11.0632 0.703103
13.063 0.0803511
15.0629 0.0968197
15.0629 0.652205
17.0628 0.155194
17.0628 0.762973
19.0627 0.286929
21.0625 0.198619
21.0625 0.69112
77.4541 0.126821
77.4541 0.504064
79.454 0.656448
83.4547 0.0499967
85.4545 0.0769722
87.4545 0.145809
89.4543 0.151803
91.4541 0.377869
201.461 0.123942
201.461 0.57452
203.461 0.726809
207.462 0.0574824
209.462 0.0635227
211.462 0.184765
213.461 0.159365
215.461 0.154886
215.461 0.951244
