Time 'S-S'_Phase
5.06257 0.517954
7.06247 0.387523
9.06331 0.351299
11.0632 0.420166
13.063 0.447119
15.0629 0.536936
17.0628 0.532435
19.0627 0.517474
21.0625 0.533939
23.0625 0.0198516
77.4541 0.514543
79.454 0.405069
81.4548 0.347904
83.4547 0.374858
85.4545 0.475164
87.4545 0.544014
89.4543 0.539538
91.4541 0.503615
93.4541 0.540897
95.4544 0.00991975
201.461 0.511649
203.461 0.349763
205.462 0.42875
207.462 0.392831
209.462 0.514109
211.462 0.541072
213.461 0.421347
215.461 0.542587
217.461 0.527598
