Time 'S-S'_Phase
5.06257 0.538912
7.06247 0.209465
9.06331 0.12076
9.06331 0.5504
11.0632 0.524957
13.063 0.530951
15.0629 0.547415
17.0628 0.500999
19.0627 0.486037
21.0625 0.523459
23.0625 0.0202369
77.4541 0.514543
79.454 0.216534
81.4548 0.201197
83.4547 0.532049
85.4545 0.527558
87.4545 0.544014
89.4543 0.51858
91.4541 0.493137
93.4541 0.509468
95.4544 0.0103151
201.461 0.50117
203.461 0.276449
205.462 0.323962
207.462 0.518586
209.462 0.545546
211.462 0.509633
213.461 0.494702
215.461 0.553064
217.461 0.548556
