Time 'S-S'_Phase
4.1798 0.0878666
4.1798 0.939621
6.17967 0.877628
8.17955 0.912167
10.1805 0.936422
12.1803 0.917562
14.1802 0.931018
18.18 0.0199404
18.18 0.925586
20.1799 0.906782
77.284 0.115702
77.284 0.945859
79.2839 0.959354
81.2838 0.97283
83.2837 0.921641
85.2835 0.870411
87.2834 0.916221
89.2833 0.929412
91.2838 0.931914
93.284 0.923769
174.747 0.0713822
176.746 0.00944933
178.746 0.00138752
178.746 0.971689
182.746 0.0390583
182.746 0.965864
184.747 0.936152
186.747 0.884961
188.747 0.920005
190.746 0.901098
