Time 'S-S'_Phase
1.69959 0.198219
3.6995 0.350899
5.70044 0.280736
7.70017 0.328853
9.7001 0.337608
11.7 0.346374
13.6999 0.302717
15.6998 0.337685
17.6996 0.359593
19.6994 0.00825544
93.0667 0.129141
95.0666 0.32132
97.0665 0.382306
99.0673 0.168072
101.067 0.176813
103.067 0.185552
105.067 0.28604
107.067 0.255513
109.067 0.32978
111.067 0.00618888
165.426 0.171156
167.427 0.192609
169.427 0.293023
171.427 0.275635
173.427 0.218912
175.426 0.16216
177.426 0.23643
179.426 0.218995
181.426 0.266938
